Vísitala neysluverðs og breytingar, grunnur 1988=100;;;;;;;;;;;;
;;;;;;;;;;;;
Mánuður;Vísitala neysluverðs Vísitala;Vísitala neysluverðs Mánaðarbreyting, %;Vísitala neysluverðs Ársbreyting, %;Vísitala neysluverðs Ársbreyting síðasta mánuð, %;Vísitala neysluverðs Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs Ársbreyting síðustu 6 mánuði, %;Vísitala neysluverðs án húsnæðis Vísitala;Vísitala neysluverðs án húsnæðis Mánaðarbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðasta mánuð, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 6 mánuði, %
2003M10;229.0;0.48;2.2;5.9;4.5;1.8;223.7;0.45;0.6;5.5;3.5;0.4
2003M11;229.3;0.13;2.5;1.6;5.4;2.4;224.1;0.18;1.1;2.2;5.7;1.4
2003M12;230.0;0.31;2.7;3.7;3.7;2.8;224.7;0.27;1.5;3.3;3.6;1.9
2004M01;230.1;0.04;2.4;0.5;1.9;3.2;224.5;-0.09;1.3;-1.1;1.4;2.4
2004M02;229.4;-0.30;2.3;-3.6;0.2;2.8;223.5;-0.45;1.2;-5.2;-1.1;2.3
2004M03;230.7;0.57;1.8;7.0;1.2;2.5;224.9;0.63;0.7;7.8;0.4;2.0
2004M04;232.0;0.56;2.2;7.0;3.3;2.6;225.9;0.44;1.2;5.5;2.5;2.0
2004M05;233.9;0.82;3.2;10.3;8.1;4.1;227.4;0.66;2.2;8.3;7.2;3.0
2004M06;235.7;0.77;3.9;9.6;9.0;5.0;228.7;0.57;2.7;7.1;6.9;3.6
2004M07;234.6;-0.47;3.6;-5.5;4.6;3.9;227.7;-0.44;2.7;-5.1;3.2;2.9
2004M08;234.6;0.00;3.7;0.0;1.2;4.6;227.3;-0.18;2.9;-2.1;-0.2;3.4
2004M09;235.6;0.43;3.4;5.2;-0.2;4.3;228.2;0.40;2.5;4.9;-0.9;3.0
2004M10;237.4;0.76;3.7;9.6;4.9;4.7;229.8;0.70;2.7;8.7;3.7;3.5
2004M11;237.9;0.21;3.8;2.6;5.7;3.4;229.8;0.00;2.5;0.0;4.5;2.1
2004M12;239.0;0.46;3.9;5.7;5.9;2.8;230.5;0.30;2.6;3.7;4.1;1.6
2005M01;239.2;0.08;4.0;1.0;3.1;4.0;229.2;-0.56;2.1;-6.6;-1.0;1.3
2005M02;239.7;0.21;4.5;2.5;3.1;4.4;228.6;-0.26;2.3;-3.1;-2.1;1.1
2005M03;241.5;0.75;4.7;9.4;4.3;5.1;229.4;0.35;2.0;4.3;-1.9;1.1
2005M04;242.0;0.21;4.3;2.5;4.8;3.9;228.3;-0.48;1.1;-5.6;-1.6;-1.3
2005M05;240.7;-0.54;2.9;-6.3;1.7;2.4;227.4;-0.39;0.0;-4.6;-2.1;-2.1
2005M06;242.4;0.71;2.8;8.8;1.5;2.9;228.2;0.35;-0.2;4.3;-2.1;-2.0
2005M07;242.7;0.12;3.5;1.5;1.2;2.9;227.9;-0.13;0.1;-1.6;-0.7;-1.1
2005M08;243.2;0.21;3.7;2.5;4.2;2.9;227.5;-0.18;0.1;-2.1;0.2;-1.0
2005M09;246.9;1.52;4.8;19.9;7.6;4.5;231.4;1.71;1.4;22.6;5.7;1.8
2005M10;248.4;0.61;4.6;7.5;9.7;5.4;232.5;0.48;1.2;5.9;8.3;3.7
2005M11;248.0;-0.16;4.2;-1.9;8.1;6.2;231.5;-0.43;0.7;-5.0;7.2;3.6
2005M12;248.9;0.36;4.1;4.4;3.3;5.4;232.0;0.22;0.7;2.6;1.0;3.4
2006M01;249.7;0.32;4.4;3.9;2.1;5.9;231.5;-0.22;1.0;-2.6;-1.7;3.2
2006M02;249.5;-0.08;4.1;-1.0;2.4;5.2;230.9;-0.26;1.0;-3.1;-1.0;3.0
2006M03;252.3;1.12;4.5;14.3;5.6;4.4;233.6;1.17;1.8;15.0;2.8;1.9
2006M04;255.2;1.15;5.5;14.7;9.1;5.5;236.1;1.07;3.4;13.6;8.2;3.1
2006M05;258.9;1.45;7.6;18.9;15.9;9.0;239.6;1.48;5.4;19.3;15.9;7.1
2006M06;261.9;1.16;8.0;14.8;16.1;10.7;242.0;1.00;6.0;12.7;15.2;8.8
2006M07;263.1;0.46;8.4;5.6;13.0;11.0;243.0;0.41;6.6;5.1;12.2;10.2
2006M08;264.0;0.34;8.6;4.2;8.1;12.0;243.7;0.29;7.1;3.5;7.0;11.4
2006M09;265.6;0.61;7.6;7.5;5.8;10.8;245.2;0.62;6.0;7.6;5.4;10.2
2006M10;266.2;0.23;7.2;2.7;4.8;8.8;245.6;0.16;5.6;2.0;4.3;8.2
2006M11;266.1;-0.04;7.3;-0.4;3.2;5.6;245.0;-0.24;5.8;-2.9;2.2;4.6
2006M12;266.2;0.04;7.0;0.5;0.9;3.3;245.0;0.00;5.6;0.0;-0.3;2.5
2007M01;266.9;0.26;6.9;3.2;1.1;2.9;245.3;0.12;6.0;1.5;-0.5;1.9
2007M02;268.0;0.41;7.4;5.1;2.9;3.1;245.3;0.00;6.2;0.0;0.5;1.3
2007M03;267.1;-0.34;5.9;-4.0;1.4;1.1;243.2;-0.86;4.1;-9.8;-2.9;-1.6
2007M04;268.7;0.60;5.3;7.4;2.7;1.9;243.7;0.21;3.2;2.5;-2.6;-1.5
2007M05;271.0;0.86;4.7;10.8;4.6;3.7;245.7;0.82;2.5;10.3;0.7;0.6
2007M06;272.4;0.52;4.0;6.4;8.2;4.7;246.2;0.20;1.7;2.5;5.0;1.0
2007M07;273.0;0.22;3.8;2.7;6.6;4.6;245.9;-0.12;1.2;-1.5;3.7;0.5
2007M08;273.1;0.04;3.4;0.4;3.1;3.8;245.0;-0.37;0.5;-4.3;-1.1;-0.2
2007M09;276.7;1.32;4.2;17.0;6.5;7.3;247.8;1.14;1.1;14.6;2.6;3.8
2007M10;278.1;0.51;4.5;6.2;7.7;7.1;248.7;0.36;1.3;4.4;4.6;4.1
2007M11;279.9;0.65;5.2;8.0;10.3;6.7;249.7;0.40;1.9;4.9;7.9;3.3
2007M12;281.8;0.68;5.9;8.5;7.6;7.0;251.4;0.68;2.6;8.5;5.9;4.3
2008M01;282.3;0.18;5.8;2.2;6.2;6.9;251.0;-0.16;2.3;-1.9;3.8;4.2
