Fjöldi starfandi, starfa og vinnustunda eftir atvinnugreinum og ársfjórðungum 1991-2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ársfjórðungur;Mælikvarði;Starfandi;A. Landbúnaður, skógrækt og fiskveiðar;B-E. Framleiðsla, námugröftur, veitustarfsemi og meðhöndlun úrgangs;C. Framleiðsla;F. Byggingarstarfsemi og mannvirkjagerð;G-I. Heildsala og verslun, samgöngur og geymslusvæði, rekstur veitinga- og gististaða;J. Upplýsingar og fjarskipti;K. Fjármála- og vátryggingastarfsemi;M-N. Ýmis sérhæfð þjónusta;O-Q. Opinber stjórnsýsla, fræðslustarfsemi, heilbrigðis- og félagsþjónusta;R-U. Önnur starfsemi;Samtals
2011Á3;Fjöldi starfa;Starfandi alls;9400;25200;22400;9600;46200;8500;7500;15600;61800;11300;196400
2011Á4;Fjöldi starfa;Starfandi alls;9200;24200;21800;9000;43900;8300;7300;14900;57000;11500;186700
2012Á1;Fjöldi starfa;Starfandi alls;8700;23300;20900;8200;42000;8300;7100;14600;55700;11000;180100
2012Á2;Fjöldi starfa;Starfandi alls;9600;25100;22400;9200;46200;8400;7400;15900;60400;11700;195200
2012Á3;Fjöldi starfa;Starfandi alls;9500;25800;23000;9700;48500;8500;7400;16500;61900;11300;200500
2012Á4;Fjöldi starfa;Starfandi alls;9200;24600;22200;9300;45800;8400;7000;15600;57900;11500;190700
2013Á1;Fjöldi starfa;Starfandi alls;8700;23800;21400;8900;44100;8500;6900;15300;56600;11100;185200
2013Á2;Fjöldi starfa;Starfandi alls;9400;25400;22800;9700;48000;8600;7200;16400;61700;11700;199500
2013Á3;Fjöldi starfa;Starfandi alls;9500;26200;23300;10100;50400;8700;7200;16900;62100;11500;204000
2013Á4;Fjöldi starfa;Starfandi alls;9100;25100;22700;9800;47600;8800;6900;16000;58400;11600;194800
2014Á1;Fjöldi starfa;Starfandi alls;8500;24500;22000;9400;46100;8700;6800;16000;57900;11400;190900
2014Á2;Fjöldi starfa;Starfandi alls;9100;25800;23100;10300;50400;8800;7000;17100;62800;11900;204800
2014Á3;Fjöldi starfa;Starfandi alls;9200;26400;23600;10700;52700;8800;7000;17700;63600;11700;209300
2014Á4;Fjöldi starfa;Starfandi alls;8900;25300;22700;10600;49900;8800;6700;17000;59800;12100;200500
2015Á1;Fjöldi starfa;Starfandi alls;8300;24400;21900;10100;48300;8700;6500;16600;58500;11600;194400
2015Á2;Fjöldi starfa;Starfandi alls;8900;26200;23400;11100;53700;8900;6700;18100;62100;12600;209900
2015Á3;Fjöldi starfa;Starfandi alls;9100;26700;23800;11600;56400;9100;6700;19000;64300;12000;216500
2015Á4;Fjöldi starfa;Starfandi alls;8800;25800;23100;11400;54000;9100;6400;18300;62800;13500;211900
2016Á1;Fjöldi starfa;Starfandi alls;8200;25100;22600;11200;52900;9000;6400;17900;59100;11600;203000
2016Á2;Fjöldi starfa;Starfandi alls;8800;26600;23700;12600;58600;9200;6700;20000;62700;12300;219000
2016Á3;Fjöldi starfa;Starfandi alls;8800;27200;24300;13400;62000;9200;6700;21600;63000;12100;225800
2016Á4;Fjöldi starfa;Starfandi alls;8400;26200;23600;13300;59900;9200;6500;20900;61100;12100;219400
2017Á1;Fjöldi starfa;Starfandi alls;7200;24800;22200;13100;57800;9000;6300;20300;59700;11800;211700
2017Á2;Fjöldi starfa;Starfandi alls;8400;26500;23600;14400;63500;9100;6500;22500;63500;12500;228600
2017Á3;Fjöldi starfa;Starfandi alls;8400;27100;24000;15200;65800;9100;6600;23600;63600;12300;233400
2017Á4;Fjöldi starfa;Starfandi alls;8100;26100;23300;15200;63000;9100;6300;22300;62500;12700;227000
2018Á1;Fjöldi starfa;Starfandi alls;7700;25400;22700;14800;59700;9300;6200;21500;62300;12400;221100
2018Á2;Fjöldi starfa;Starfandi alls;8300;26800;23800;15800;64400;9500;6500;23300;66100;13100;235700
2018Á3;Fjöldi starfa;Starfandi alls;8500;27200;24100;16000;66100;9400;6500;24200;65800;12800;238400
2018Á4;Fjöldi starfa;Starfandi alls;8200;26300;23500;16000;62900;9400;6300;23000;64000;13300;231200
2019Á1;Fjöldi starfa;Starfandi alls;7700;25100;22300;15400;59000;9000;6100;21600;63300;12900;222000
2019Á2;Fjöldi starfa;Starfandi alls;8300;26400;23300;16300;61800;9000;6300;23000;67500;13600;234300
2019Á3;Fjöldi starfa;Starfandi alls;8400;26800;23600;16400;62900;9000;6300;23900;69700;13200;238600
2019Á4;Fjöldi starfa;Starfandi alls;8100;25700;22900;15700;59600;9000;6100;22300;66500;13400;228600
2020Á1;Fjöldi starfa;Starfandi alls;7300;24300;21400;14500;55200;9000;5900;20100;66400;13700;218300
2020Á2;Fjöldi starfa;Starfandi alls;7800;24800;21800;14800;51000;8700;6000;19300;71200;12900;218400
2020Á3;Fjöldi starfa;Starfandi alls;7900;25300;22000;15100;51200;8700;5900;19600;75400;13300;224600
2020Á4;Fjöldi starfa;Starfandi alls;7800;24200;21300;14900;46500;8900;5900;18300;68900;12900;210200
2021Á1;Fjöldi starfa;Starfandi alls;7400;23500;20700;14200;45000;8900;5700;17500;67100;12400;203500
2021Á2;Fjöldi starfa;Starfandi alls;7900;25200;22100;15600;49800;9100;5900;19500;73000;13600;221800
2021Á3;Fjöldi starfa;Starfandi alls;8000;25900;22600;16100;56200;9300;5900;21800;76300;14200;235900
2021Á4;Fjöldi starfa;Starfandi alls;7800;25400;22500;16100;56300;9600;5800;21400;71300;14600;230500
2022Á1;Fjöldi starfa;Starfandi alls;7100;24800;21900;15800;54000;9700;5700;20500;69800;14200;223600
2022Á2;Fjöldi starfa;Starfandi alls;7700;26200;23100;17400;60700;9900;6000;22900;75500;15500;244000
2022Á3;Fjöldi starfa;Starfandi alls;7800;26600;23300;18000;63500;10000;5900;24300;76300;14900;249500
2022Á4;Fjöldi starfa;Starfandi alls;7600;26400;23400;18300;61900;10200;5900;23500;72800;15400;244400
2023Á1;Fjöldi starfa;Starfandi alls;7100;25700;22600;17800;59400;10200;5900;22600;71900;14800;237700
2023Á2;Fjöldi starfa;Starfandi alls;...;27300;...;19200;64599;10100;6100;24700;77400;16000;255000
2023Á3;Fjöldi starfa;Starfandi alls;...;28300;...;19600;66000;10000;6100;26000;78300;15500;258700
